ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
9950,Hulu Xiongdi,葫芦兄弟,Unknown,"Legend has it that two demons were jailed in the Calabash Mountains, one a Scorpion spirit and the other a Snake spirit. However, years pass and a pangolin accidentally drills through the mountains and releases the demons.

An old man is hiking on the mountains nearby and falls next to a cave where the pangolin escapes from. The pangolin explains the situation and tells the old man the legend of seven calabashes that can save their land from being destroyed. The old man knows what he must do and obtains the legendary calabash plant seed in order to defeat the demons.

As each calabash matures, it transforms into a child with unique powers.  With a combined effort, these seven calabash brothers set on a mission to defeat the demons in a 13 episode-long adventure.

In a sequel series, it is later revealed that there was a third demon, specifically the sister to the snake spirit, that had been in hiding underground during the whole battle. The only survivor from the defeat of the two demons, a humanoid toad with a blinded eye, comes and desperately reports the news. Naturally, the demon is enraged and attacks the mountain that contains the seven brothers in order to avenge its siblings' deaths.

(Source: Wikipedia)",TV,13.0,Finished Airing,1986,1987,Unknown,Unknown,Unknown,Original,Unknown,Super Power,Unknown,10.0,PG - Children,6.451,200.0,66972.0,13850,521,3,1986.0
38117,Zhu Zhu Xia: Da Nao Huang Gong,猪猪侠 大闹皇宫,Unknown,"The series is about the titular character, an intelligent and mischievous pig named G.G. Bond (猪猪侠, meaning ""Pig Hero"") born with superpowers. He is an orphan under the care and custody of Dr. Mihu, his teacher who enjoys inventing different gadgets. 

This is considered ""season 0"" due to its short length. Originally it was advertised as a for-TV movie.

(Source: Wikipedia)",TV,4.0,Finished Airing,2005,Not Available,Unknown,Unknown,Unknown,Original,Sci-Fi,Super Power,Kids,7.0,G - All Ages,,,166182.0,17488,203,0,2005.0
3900,Ougon Bat,黄金バット,Golden Bat,"A golden warrior wearing a cape and a scepter, Ougon Bat was a protector spirit  from Atlantis reanimated by a scientist and his friends (specially the sweet Marie) from his tomb covered in hieroglyphics. His entry was heralded by a golden bat and a sinister laugh and he would put good use of his super powers to combat the evil forces of Dr. Zero.",TV,52.0,Finished Airing,"Apr 1, 1967","Mar 23, 1968",Tele-Cartoon Japan,Unknown,"Dai-Ichi Douga, Dongyang Animation",Novel,"Action, Sci-Fi",Super Power,Unknown,25.0,PG-13 - Teens 13 or older,6.431,458.0,67642.0,9955,2102,4,1967.0
30025,Otenki Boys,おてんきボーイズ,Unknown,"An anime made for toddlers following weather themed characters, originally aired as a part of the early morning children's program Hirake! Ponkikki before the anime was combined and released on VHS.",TV,30.0,Finished Airing,"Apr 1, 1991","Sep 27, 1991",Unknown,Unknown,Unknown,Unknown,Unknown,Super Power,Kids,4.0,PG - Children,,,141352.0,17560,199,0,1991.0
6919,X-Men,エックスメン,X-Men,"The X-Men are reunited following the death of a teammate, and are summoned by Charles Xavier to Japan following the abduction of Hisako Ichiki (Armor). There, they confront the U-Men, a lunatic cult that steals and transplants mutant organs to further strengthen their own army, and the battle for justice is on.

(Source: Marvel)",TV,12.0,Finished Airing,"Apr 1, 2011","Jun 24, 2011","Sony Pictures Entertainment, Atelier Musa",Marvel Entertainment,Madhouse,Other,"Action, Drama",Super Power,Unknown,23.0,PG-13 - Teens 13 or older,6.331,12557.0,73192.0,3840,25743,26,2011.0
33486,Boku no Hero Academia 2nd Season,僕のヒーローアカデミア,My Hero Academia Season 2,"At UA Academy, not even a violent attack can disrupt their most prestigious event: the school sports festival. Renowned across Japan, this festival is an opportunity for aspiring heroes to showcase their abilities, both to the public and potential recruiters.

However, the path to glory is never easy, especially for Izuku Midoriya—whose quirk possesses great raw power but is also cripplingly inefficient. Pitted against his talented classmates, such as the fire and ice wielding Shouto Todoroki, Izuku must utilize his sharp wits and master his surroundings to achieve victory and prove to the world his worth.

[Written by MAL Rewrite]",TV,25.0,Finished Airing,"Apr 1, 2017","Sep 30, 2017","Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Funimation,Bones,Manga,Action,"School, Super Power",young boy,23.0,PG-13 - Teens 13 or older,8.141,568249.0,3902.0,14,2268720,17147,2017.0
42205,Shaman King (2021),SHAMAN KING,Unknown,"Shamans are extraordinary individuals with the ability to communicate with ghosts, spirits, and gods, which are invisible to ordinary people. The Shaman Fight—a prestigious tournament pitting shamans from all over the world against each other—is held every five hundred years, where the winner is crowned Shaman King. This title allows the current incumbent to call upon the Great Spirit and shape the world as they see fit.

Finding himself late for class one night, Manta Oyamada, an ordinary middle school student, decides to take a shortcut through the local cemetery. Noticing him, a lone boy sitting on a gravestone invites Manta to stargaze with ""them."" Realizing that ""them"" refers to the boy and his ghostly friends, Manta flees the terror. Later, the boy introduces himself as You Asakura, a Shaman-in-training, and demonstrates his powers by teaming up with the ghost of six-hundred-year-old samurai Amidamaru to save Manta from a group of thugs. You befriends Manta due to his ability to see spirits, and with the help of Amidamaru, they set out to accomplish You's goal of becoming the next Shaman King.

[Written by MAL Rewrite]",TV,52.0,Finished Airing,"Apr 1, 2021","Apr 21, 2022","TV Tokyo, Dentsu, King Records, Techno Sound",Unknown,Bridge,Manga,"Adventure, Comedy, Supernatural",Super Power,young boy,23.0,PG-13 - Teens 13 or older,6.891,57078.0,43672.0,887,230181,1572,2021.0
28617,Punch Line,パンチライン,Punch Line,"After escaping a bus hijacking with the help of masked superhero Strange Juice, Yuuta Iridatsu finds his soul separated from his body and in the care of a perverse cat spirit, Chiranosuke. As a spirit, Yuuta wanders around his residence, the Korai House, aiming to regain his body and observe the other residents: Meika Daihatsu, a genius inventor; Mikatan Narugino, a cheerful idol; Ito Hikiotani, a shut-in NEET; and Rabura Chichibu, a spiritual medium. After catching a glimpse of Narugino's undergarments, Chiranosuke reveals to Yuuta that he becomes exponentially stronger upon seeing panties. However, if he sees another pair while he is still a spirit, his power will cause an asteroid to crash into the earth, ending the world and killing his friends.

Punch Line follows Yuuta as he unravels the mysteries surrounding Korai House, its residents, and a villainous organization attempting to end the world. Will Yuuta be able to save everyone, or will the ever-present threat of panties result in their doom?

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2015","Jun 26, 2015","Aniplex, Dentsu, Fuji TV, MAGES., Kyoraku Industrial Holdings, Kansai Telecasting",Sentai Filmworks,MAPPA,Original,"Comedy, Sci-Fi, Supernatural, Ecchi",Super Power,Unknown,23.0,PG-13 - Teens 13 or older,6.931,90438.0,42062.0,926,219348,616,2015.0
32313,Concrete Revolutio: Choujin Gensou - The Last Song,コンクリート・レボルティオ～超人幻想～THE LAST SONG,Unknown,"Titans from outer space, life forms from a mystical world, phantoms and goblins from ancient times, cyborgs created by scientists, relics that rose out of the ruins of ancient civilizations. In another Japan, it's not just a question of ""what if""—it's a reality. Some of the superhumans choose to keep their identities a secret, while others bask in their superhuman fame. Jiro Hitoyoshi, member of the Superhuman Bureau, keeps track of their doings.

(Source: ANN)",TV,11.0,Finished Airing,"Apr 10, 2016","Jun 17, 2016","Bandai Visual, Lantis, Tokyo MX, Animatic, Hakuhodo DY Media Partners, Anime Consortium Japan",Funimation,Bones,Original,"Action, Drama, Fantasy, Mystery, Sci-Fi, Supernatural","Mythology, Super Power",Unknown,24.0,R+ - Mild Nudity,7.001,13045.0,39062.0,3365,33892,81,2016.0
34134,One Punch Man 2nd Season,ワンパンマン,One Punch Man Season 2,"In the wake of defeating Boros and his mighty army, Saitama has returned to his unremarkable everyday life in Z-City. However, unbeknownst to him, the number of monsters appearing is still continuously on the rise, putting a strain on the Hero Association's resources. Their top executives decide on the bold move of recruiting hoodlums in order to help in their battle. But during the first meeting with these potential newcomers, a mysterious man calling himself Garou makes his appearance. Claiming to be a monster, he starts mercilessly attacking the crowd.

The mysterious Garou continues his rampage against the Hero Association, crushing every hero he encounters. He turns out to be the legendary martial artist Silverfang's best former disciple and seems driven by unknown motives. Regardless, this beast of a man seems unstoppable. Intrigued by this puzzling new foe and with an insatiable thirst for money, Saitama decides to seize the opportunity and joins the interesting martial arts competition.

As the tournament commences and Garou continues his rampage, a new great menace reveals itself, threatening the entire human world. Could this finally be the earth-shattering catastrophe predicted by the great seer Madame Shibabawa?

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2019","Jul 3, 2019","TV Tokyo, Good Smile Company, Shueisha, JR East Marketing & Communications, Bandai Namco Arts, Bandai Spirits",VIZ Media,J.C.Staff,Web manga,"Action, Comedy","Parody, Super Power",teenager,23.0,R - 17+ (violence & profanity),7.481,880352.0,17172.0,62,1471613,5878,2019.0
