ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,進撃の巨人 The Final Season完結編,Attack on Titan The Final Season Part 3,Unknown,TV,,Not yet aired,2023,Unknown,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprise",Unknown,MAPPA,Manga,"Action, Drama","Gore, Military, Survival",young boy,,R - 17+ (violence & profanity),,,,1101,183687,1646,2023.0
25777,Shingeki no Kyojin Season 2,進撃の巨人 Season2,Attack on Titan Season 2,"For centuries, humanity has been hunted by giant, mysterious predators known as the Titans. Three mighty walls—Wall Maria, Rose, and Sheena—provided peace and protection for humanity for over a hundred years. That peace, however, was shattered when the Colossal Titan and Armored Titan appeared and destroyed the outermost wall, Wall Maria. Forced to retreat behind Wall Rose, humanity waited with bated breath for the Titans to reappear and destroy their safe haven once more.

In Shingeki no Kyojin Season 2, Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 1, 2017","Jun 17, 2017","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,"Action, Drama","Gore, Military, Survival",young boy,24.0,R - 17+ (violence & profanity),8.501,650516.0,1192.0,12,2395390,20123,2017.0
384,Gantz,ガンツ,Gantz,"Thought your life was bad? Sometimes, death is worse. There is no salvation, peace, nor god waiting to receive you into their care. But wait, a god? Maybe you are talking about that big black ball stuck in the room with you. Now you are thrown into a game, fighting green aliens and robot monsters for the chance to survive.

When Kei Kurono is killed, he thus finds himself caught in such a game—a test of his skills, morals, and will to survive. His life is not his own; his death is spat and trampled upon over and over again. What happens if he does not listen? God knows.

A word of warning: Gantz is not for the faint-hearted, but neither is it as simple as it looks. Gore, rape, and violence is rampant, as are portrayals of greed, violence, and all the ugliness that one sees in society today.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 13, 2004","Jun 22, 2004",Fuji TV,"ADV Films, Funimation",Gonzo,Manga,"Action, Drama, Horror, Sci-Fi, Supernatural, Ecchi","Gore, Psychological, Survival",Unknown,22.0,R+ - Mild Nudity,7.001,169526.0,39092.0,598,333828,2282,2004.0
6880,Deadman Wonderland,デッドマン・ワンダーランド,Deadman Wonderland,"It looked like it would be a normal day for Ganta Igarashi and his classmates—they were preparing to go on a class field trip to a certain prison amusement park called Deadman Wonderland, where the convicts perform dangerous acts for the onlookers' amusement. However, Ganta's life is quickly turned upside down when his whole class gets massacred by a mysterious man in red. Framed for the incident and sentenced to death, Ganta is sent to the very jail he was supposed to visit. 

But Ganta's nightmare is only just beginning. 

The young protagonist is thrown into a world of sadistic inmates and enigmatic powers, to live in constant fear of the lethal collar placed around his neck that is slowed only by winning in the prison's deathly games. Ganta must bet his life to survive in a ruthless place where it isn't always easy to tell friend from foe, all while trying to find the mysterious ""Red Man"" and clear his name, in Deadman Wonderland.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 17, 2011","Jul 3, 2011","Kadokawa Shoten, Kadokawa Pictures Japan, KlockWorx, AMG MUSIC",Funimation,Manglobe,Manga,"Action, Horror, Sci-Fi, Supernatural","Gore, High Stakes Game, Survival",young boy,24.0,R - 17+ (violence & profanity),7.161,644901.0,31552.0,97,1149732,6411,2011.0
31430,Terra Formars: Revenge,テラフォーマーズ リベンジ,Unknown,"In Terra Formars Revenge, the crew members of the Annex I continue to fight against Terraformars—the large humanoid cockroaches that evolved from the ones sent to Mars centuries ago. However, far from discovering the cure for the lethal Alien Engine Virus that has been plaguing Earth, the Annex I team have learned that some squadrons have agendas from their own countries. Now, the squadrons must not only fight against the Terraformars for their survival, but also each other in the never-ending battle for international dominance.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 2, 2016","Jun 25, 2016","Warner Bros. Japan, Ultra Super Pictures, MAGES., Good Smile Company, Shueisha, Kyoraku Industrial Holdings, Animatic",VIZ Media,"TYO Animations, LIDENFILMS",Manga,"Action, Drama, Horror, Sci-Fi","Gore, Space, Survival",teenager,24.0,R - 17+ (violence & profanity),6.661,46793.0,54902.0,1985,86651,101,2016.0
38524,Shingeki no Kyojin Season 3 Part 2,進撃の巨人 Season3 Part.2,Attack on Titan Season 3 Part 2,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, discovers distressing signs of a potential scheme against them. 

Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family's basement.

[Written by MAL Rewrite]",TV,10.0,Finished Airing,"Apr 29, 2019","Jul 1, 2019","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,"Action, Drama","Gore, Military, Survival",young boy,23.0,R - 17+ (violence & profanity),9.071,357688.0,52.0,28,1922805,52595,2019.0
16355,Dansai Bunri no Crime Edge,断裁分離のクライムエッジ,The Severing Crime Edge,"Kiri Haimura has an obsession with beautiful hair—specifically, cutting it. This bizarre trait is what leads him to seek out a rumored long-haired ghost who lives in an abandoned house on a hill. However, he finds not a ghost, but a beautiful girl with long flowing hair named Iwai Mushanokouji, the ""Hair Queen,"" whose hair cannot be cut due to a family curse.

Iwai explains that there is a death game surrounding her, and that if she is killed by a cursed object, aptly named a ""Killing Good,"" the wielder gets their wish granted. After protecting Iwai from ""Authors""—Killing Goods users—he learns there is in fact a Killing Good passed down in his own family: a pair of scissors used by his ancestor to commit murders. Naming the scissors ""The Severing Crime Edge,"" he finds that he is able to cut Iwai's cursed hair with them, setting her free to live a normal life. However, many Authors seek to kill the Hair Queen, and Kiri will have to protect her in this lethal game of fate.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 4, 2013","Jun 27, 2013",Media Factory,Sentai Filmworks,Studio Gokumi,Manga,"Action, Fantasy, Romance",Survival,teenager,24.0,R - 17+ (violence & profanity),6.681,45616.0,53832.0,1726,106299,151,2013.0
16512,Devil Survivor 2 The Animation,デビルサバイバー２ THE ANIMATION,Devil Survivor 2 The Animation,"The countdown to extinction begins on Sunday with the arrival of the Septentriones, otherworldly invaders set on the eradication of mankind. Caught in the crossfire, Hibiki Kuze and his friends join in the war for humanity's survival by signing contracts with demons to become ""Devil Summoners."" Soon, their abilities attract the attention of JP's, an underground agency led by Yamato Houtsuin. Once recruited into JP's, Hibiki and his friends fight and bond alongside other ordinary citizens who are Devil Summoners. 

However, with each new day, another Septentrione appears to wreak havoc upon Japan. Even if many lives are lost in the process, before that night ends, the young summoners must defeat the invaders at all costs.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 5, 2013","Jun 28, 2013","Mainichi Broadcasting System, Pony Canyon, Showgate, Index",Sentai Filmworks,Bridge,Game,"Action, Supernatural","Mythology, Survival",Unknown,24.0,R - 17+ (violence & profanity),6.851,77208.0,45562.0,1242,160996,469,2013.0
16498,Shingeki no Kyojin,進撃の巨人,Attack on Titan,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached.

[Written by MAL Rewrite]",TV,25.0,Finished Airing,"Apr 7, 2013","Sep 29, 2013","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise",Funimation,Wit Studio,Manga,"Action, Drama","Gore, Military, Survival",young boy,24.0,R - 17+ (violence & profanity),8.531,519803.0,1002.0,1,3524109,155695,2013.0
1690,Bokura no,ぼくらの,Bokurano,"15 children, 8 boys and 7 girls, are enjoying their summer camp together when they suddenly discover a grotto by the sea. When they enter the mysterious place they find a room full of computers, as well as a man named Kokopelli, who introduces himself as the owner. He claims to be working on a game which involves a giant robot that has been designed to protect the Earth from 15 different alien invasions. Kokopelli hasn't been able to test the game yet, so he persuades all but one of the children to sign a contract in what he claims will be a fun adventure.

However, as soon as the contracts are signed things start to take a much darker turn. In Bokurano, the children must now pilot the giant robot Zearth one at a time in the hopes that they will have what it takes to defeat all of the upcoming enemies. But Kokopelli has left out one very important piece of information: the giant robot Zearth's energy source.",TV,24.0,Finished Airing,"Apr 9, 2007","Sep 25, 2007",Sotsu Music Publishing,Discotek Media,Gonzo,Manga,"Drama, Sci-Fi","Mecha, Psychological, Survival",teenager,23.0,R - 17+ (violence & profanity),7.621,49970.0,13032.0,1128,178364,1133,2007.0
