ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
43447,Effendi De Gushi,阿凡提的故事,Unknown,Unknown,TV,14.0,Finished Airing,1979,1988,Unknown,Unknown,Unknown,Other,Unknown,Unknown,Kids,25.0,PG - Children,,,177682.0,19982,52,0,1979.0
43253,San Mao Liu Lang Ji (TV),三毛流浪记 (1984),Unknown,Unknown,TV,4.0,Finished Airing,1984,Not Available,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,10.0,PG - Children,,,146842.0,19776,58,0,1984.0
43613,Lata Dawang Qiyu Ji,邋遢大王奇遇记,Unknown,Unknown,TV,13.0,Finished Airing,1987,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Unknown,Kids,10.0,PG - Children,,,195122.0,19997,52,0,1987.0
52471,Lyeonglihan Neoguli,령리한 너구리,The Little Bear,"Clever Raccoon Dog is a North Korean animated television series produced by SEK Studio which aired on North Korean state television. The series was produced for a number of years and features both old and new animation style, depending on the production year of each episode. The series focuses on three main characters: A raccoon dog, A male bear and A female cat, often involved in minor adventures or incidents. Each episode has a scholastic element or a particular message, focusing on matters as scientific information, road safety, commitment to sport and contests, among others. 

(Source: Wikipedia)",TV,63.0,Finished Airing,1987,2009,Unknown,Unknown,SEK Studios,Original,Unknown,Unknown,Kids,13.0,PG - Children,,,131802.0,21106,29,0,1987.0
25059,"Nikoniko, Pun",にこにこ、ぷん,Unknown,"Anime spin-off from a children's show that featured out-of-work actors dressed up as a giant mouse, penguin, and lion, itself part of the Japanese ""Watch with Mother"" TV strip for the preschool audience.

(Source: The Anime Encyclopedia)",TV,40.0,Finished Airing,1988,Not Available,"NHK, Oh! Production",Unknown,Unknown,Unknown,"Comedy, Fantasy",Unknown,Kids,9.0,G - All Ages,,,138632.0,17117,224,2,1988.0
43642,Pi Pi De Gushi,皮皮的故事,Unknown,Unknown,TV,10.0,Finished Airing,1988,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Unknown,Kids,4.0,PG - Children,,,142762.0,20114,49,0,1988.0
52219,Toki Doki,Toki Doki,Unknown,"Toki Doki was a claymation-style animation created by Fusako Yusaki. Each episode had a theme, such as ""look"", ""jump"", ""sleep"", ""eat"" and etc.
",TV,13.0,Finished Airing,1989,1990,Unknown,Unknown,Unknown,Original,Unknown,Unknown,Kids,2.0,G - All Ages,,,156142.0,20466,41,0,1989.0
43803,Da Daozei,大盗贼,Unknown,Unknown,TV,8.0,Finished Airing,1989,1990,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,27.0,G - All Ages,,,175012.0,20278,46,0,1989.0
43672,Mofang Dasha,魔方大厦,Unknown,Unknown,TV,10.0,Finished Airing,1990,1994,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Unknown,Kids,18.0,PG - Children,,,135482.0,20301,46,0,1990.0
43808,Jing Hua Yuan,镜花缘,Unknown,Unknown,TV,4.0,Finished Airing,1991,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Unknown,Kids,19.0,G - All Ages,,,188002.0,20165,49,0,1991.0
29209,Tomodachi de Iyou ne,ともだちでいようね,Unknown,"Short children's anime depicting Neko-kun, Nyaago, Usagi-kun, Kuma-kun, and other forest animals in their daily lives. It originally aired as a part of the early morning children's program Hirake! Ponkikki before the anime was combined and released on VHS.",TV,26.0,Finished Airing,1992,1993,Unknown,Unknown,Unknown,Unknown,Slice of Life,Unknown,Kids,5.0,PG - Children,,,156402.0,18163,164,0,1992.0
43914,Guai Laotou Er,怪老头儿,Unknown,Unknown,TV,4.0,Finished Airing,1992,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Unknown,Unknown,Kids,19.0,G - All Ages,,,181292.0,20799,33,0,1992.0
6907,Mikan-Seijin,ミカンせいじん,Extraterrestrial Oranges,Mikan Seijin is about an tangerine-like alien on earth. ,TV,26.0,Finished Airing,1992,Not Available,Unknown,Unknown,Unknown,Unknown,Comedy,Unknown,Unknown,22.0,G - All Ages,5.561,201.0,108772.0,13461,593,3,1992.0
43673,Tebie Chedui,特别车队,Unknown,Unknown,TV,13.0,Finished Airing,1992,1993,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,18.0,PG - Children,,,154742.0,20310,46,0,1992.0
43676,Shi Er Shengxiao,十二生肖,Unknown,Unknown,TV,13.0,Finished Airing,1993,1995,Unknown,Unknown,Shanghai Animation Film Studio,Other,Unknown,Unknown,Kids,11.0,G - All Ages,,,148922.0,20031,51,0,1993.0
43311,Lan Pi Shu Yu Da Lian Mao,蓝皮鼠与大脸猫,Unknown,Unknown,TV,30.0,Finished Airing,1993,1994,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,,PG - Children,,,194892.0,20194,48,0,1993.0
43920,Datou Er Zi He Xiao Tou Baba,大头儿子和小头爸爸,Unknown,Unknown,TV,156.0,Finished Airing,1995,2002,Unknown,Unknown,Unknown,Unknown,Slice of Life,Unknown,Kids,7.0,G - All Ages,,,175822.0,20541,39,0,1995.0
43958,Haier Xiongdi,海尔兄弟,Haier Brothers,Unknown,TV,212.0,Finished Airing,1995,2001,Unknown,Unknown,Unknown,Original,Adventure,Unknown,Kids,11.0,PG - Children,,,181972.0,20695,35,0,1995.0
43830,Jiao Jiao Yu Jing Jing,娇娇与晶晶,Unknown,Unknown,TV,10.0,Finished Airing,1995,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Original,Sci-Fi,Unknown,Kids,12.0,PG - Children,,,187652.0,21099,29,0,1995.0
43832,Xiyou Man Ji,西游漫记,Unknown,Unknown,TV,18.0,Finished Airing,1995,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,20.0,PG - Children,,,162852.0,20917,31,0,1995.0
45869,Xiaobudian,小不点,Unknown,Unknown,TV,26.0,Finished Airing,1995,Unknown,Unknown,Unknown,Unknown,Original,Unknown,Unknown,Kids,10.0,PG - Children,,,161682.0,19927,54,0,1995.0
43941,Qi Qi Piao Youji,奇奇漂游记,Unknown,Unknown,TV,4.0,Finished Airing,1996,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Unknown,Kids,12.0,PG - Children,,,144262.0,20403,43,0,1996.0
43943,Kaixin Jie,开心街,Unknown,Unknown,TV,26.0,Finished Airing,1996,Not Available,Unknown,Unknown,Unknown,Original,Adventure,Unknown,Kids,11.0,PG - Children,,,189712.0,21104,29,0,1996.0
