ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
2130,Kaibutsu Oujo,怪物王女,Princess Resurrection,"When Hiro Hiyorimi tries to save a beautiful young woman from certain death, he ends up a dead hero himself! However, since the drop-dead girl is Hime, daughter of the King of the Monsters, his ""reward"" is to come back as a not-quite-living soldier in her honor guard of horror! That means helping fight off the army of supernatural monstrosities Hime's siblings are unleashing against her in hopes of moving up the ladder of succession.

And if facing off with vampires and zombies isn't bad enough, how can anyone be prepared for the REALLY weird ones, like were-sharks, pandas and killer dumplings? This sure as hell isn't the afterlife Hiro was hoping for, but the really sad part is that Hime is the good girl in all of this... or at least as close to good as you can come when you're on the wrong side of the gates of hell!

(Source: RightStuf)",TV,25.0,Finished Airing,"Apr 13, 2007","Sep 28, 2007","Imagin, Lantis, Index, Universal Pictures Japan","ADV Films, Sentai Filmworks",Madhouse,Manga,"Action, Comedy, Horror, Supernatural",Vampire,young boy,24.0,PG-13 - Teens 13 or older,6.991,28095.0,39852.0,2139,75354,193,2007.0
27,Trinity Blood,トリニティ・ブラッド,Trinity Blood,"Following Armageddon, an apocalyptic war, mankind faces yet another menace: vampires. The continuous confrontations between the races have split the world into separate factions. The race of vampires, Methuselah, are affiliated with the New Human Empire; whereas the humans, deemed Terrans by the vampires, make up the Vatican Papal State. Furthermore, extremist groups like the Rosenkreuz Order strive to rekindle a war, despite the factions' attempts to avoid direct conflict.

To combat terrorist organizations, the Vatican has implemented the AX unit. Led by Cardinal Caterina Sforza, the AX agents investigate vampire-related disturbances with hopes that the Terrans and the Methuselah will one day achieve peaceful coexistence. Amongst the AX unit is priest Abel Nightroad—a seemingly disoriented but gentle-hearted fellow who is a fierce vampire slayer on the battlefield. Joining the unit as his partner is agent Sister Esther Blanchett, a brave and gentle young nun troubled with a tragic past. 

As the two grow closer, they begin to uncover signs of malicious schemes and dark forces working in the shadows. But the path they walk is riddled with misfortune that might just force them to confront the memories that plague their hearts.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 29, 2005","Oct 28, 2005",Unknown,Funimation,Gonzo,Light novel,"Action, Supernatural",Vampire,Unknown,24.0,R - 17+ (violence & profanity),7.301,77749.0,24792.0,1160,174192,1269,2005.0
941,Renkin San-kyuu Magical? Pokaan,錬金3級 まじかる?ぽか〜ん,Unknown,"Renkin San-kyuu Magical? Pokaan follows the daily lives of four young girls. There is just one catch: they are anything but normal. This group of friends—the energetic werewolf Liru, the joyful witch-in-training Uma, the motherly android Aiko, and the seductive vampire Pachira—are actually princesses from the netherworld who have traveled to the human world in search of a new home. Unfortunately, their naivety and severe lack of knowledge make living peacefully among earthlings much more difficult than they imagined. 

As they attempt to adapt to their brand new lifestyle, they cause all sorts of trouble, and end up attracting the unwanted attention of a woman by the name of Dr. K-Ko. The scientist believes that these new residents of Earth are up to no good and attempts to capture the girls to prove the existence of the supernatural and gain credibility with the scientific community. Every day brings a new adventure as the girls deal with the insanity of her antics and all that the human realm has to offer.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2006","Jun 20, 2006","Genco, Lantis, Media Factory",Unknown,Remic,Original,"Comedy, Ecchi","CGDCT, Gag Humor, Parody, Vampire",Unknown,24.0,R+ - Mild Nudity,6.971,9634.0,40472.0,3527,30574,115,2006.0
26243,Owari no Seraph,終わりのセラフ,Seraph of the End Vampire Reign,"With the appearance of a mysterious virus that kills everyone above the age of 13, mankind becomes enslaved by previously hidden, power-hungry vampires who emerge in order to subjugate society with the promise of protecting the survivors, in exchange for donations of their blood.

Among these survivors are Yuuichirou and Mikaela Hyakuya, two young boys who are taken captive from an orphanage, along with other children whom they consider family. Discontent with being treated like livestock under the vampires' cruel reign, Mikaela hatches a rebellious escape plan that is ultimately doomed to fail. The only survivor to come out on the other side is Yuuichirou, who is found by the Moon Demon Company, a military unit dedicated to exterminating the vampires in Japan.

Many years later, now a member of the Japanese Imperial Demon Army, Yuuichirou is determined to take revenge on the creatures that slaughtered his family, but at what cost?

Owari no Seraph is a post-apocalyptic supernatural shounen anime that follows a young man's search for retribution, all the while battling for friendship and loyalty against seemingly impossible odds.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 4, 2015","Jun 20, 2015","Rakuonsha, NBCUniversal Entertainment Japan, Shueisha",Funimation,Wit Studio,Manga,"Action, Drama, Supernatural","Military, Vampire",young boy,23.0,R - 17+ (violence & profanity),7.491,662430.0,17092.0,90,1202267,12724,2015.0
4853,Tezuka Osamu no Don Dracula,手塚治虫のドン・ドラキュラ,Unknown,"After living in Transylvania for several years, ""Earl Dracula"" (as Osamu Tezuka's official website calls him in English) has moved to Japan. In the Nerima Ward of Tokyo, he and his daughter, Chocola, and faithful servant Igor have taken up residence in an old-Western style house.

While Chocola attends Junior High School, Earl Dracula is desperate to drink the blood of beautiful virgin women; an appropriate meal for a vampire of his stature. However, each night that Earl Dracula goes out on the prowl he finds himself getting involved in some kind of disturbance which leads to him causing various trouble for the local residents. With nobody in Japan believing in vampires, his very presence causes trouble amongst the people in town.",TV,8.0,Finished Airing,"Apr 5, 1982","Apr 26, 1982",Unknown,Unknown,Tezuka Productions,Manga,"Comedy, Horror, Supernatural",Vampire,Unknown,24.0,R+ - Mild Nudity,6.001,939.0,90672.0,9608,2382,1,1982.0
24439,Kekkai Sensen,血界戦線,Blood Blockade Battlefront,"Supersonic monkeys, vampires, talking fishmen, and all sorts of different supernatural monsters living alongside humans—this has been part of daily life in Hellsalem's Lot, formerly known as New York City, for some time now. When a gateway between Earth and the Beyond opened three years ago, New Yorkers and creatures from the other dimension alike were trapped in an impenetrable bubble and were forced to live together. Libra is a secret organization composed of eccentrics and superhumans, tasked with keeping order in the city and making sure that chaos doesn't spread to the rest of the world.

Pursuing photography as a hobby, Leonardo Watch is living a normal life with his parents and sister. But when he obtains the ""All-seeing Eyes of the Gods"" at the expense of his sister's eyesight, he goes to Hellsalem's Lot in order to help her by finding answers about the mysterious powers he received. He soon runs into Libra, and when Leo unexpectedly joins their ranks, he gets more than what he bargained for. Kekkai Sensen follows Leo's misadventures in the strangest place on Earth with his equally strange comrades—as the ordinary boy unwittingly sees his life take a turn for the extraordinary.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 5, 2015","Oct 4, 2015","Nihon Ad Systems, Mainichi Broadcasting System, TOHO animation, Shueisha, Toy's Factory, Sony PCL",Funimation,Bones,Manga,"Action, Comedy, Fantasy, Supernatural","Super Power, Vampire",young boy,26.0,R - 17+ (violence & profanity),7.611,358138.0,13262.0,184,793596,7196,2015.0
41265,Mars Red,MARS RED,Mars Red,"In the year 1923, a vampire crisis takes Tokyo by storm. Provoked by the illegal trade of ""Ascra,"" an artificial blood source, the population of vampires begins to rapidly increase within the city. Under orders from Lieutenant General Sounosuke Nakajima, the Special Forces Unit 16 gathers vampires within the military to create a new undercover vampire-hunting unit known as Code Zero.

Leading the unit is Colonel Yoshinobu Maeda. Responsible for locating the source of the Ascra trade as well as capturing and killing vampires, he is pressured into producing fruitful results amidst the growing criticism that threatens to decommission the unit. To make matters worse, the vampires within the unit are struggling to grasp their newfound powers and identities now that they are no longer human. With the world at odds against them, the members of Code Zero must find a way to curb the crisis or otherwise fall victim to their own demonic natures.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 6, 2021","Jun 29, 2021","VAP, Yomiuri TV Enterprise, Pony Canyon Enterprise, D-techno, Nihon Keizai Koukokusha",Funimation,Signal.MD,Other,"Action, Supernatural","Historical, Military, Vampire",Unknown,23.0,PG-13 - Teens 13 or older,6.601,32346.0,58182.0,1623,113997,563,2021.0
605,Tenshi ni Narumon!,天使になるもんっ！,I'm Gonna Be an Angel!,"Yuusuke was just a normal kid going to high school. Then one day, the cute and behaloed Noelle fell, quite literally, into his life, naked as a baby and every bit as innocent. Before he can even fathom what's just happened, Yuusuke is inducted into a rather odd family of otherworldly beings. 

Papa is a Frankenstein monster with a taste for calisthenics. Mama is a gorgeous lady with a penchant for ""round objects"" -- really! The eldest sister, Sara, is literally invisible; the brother, Gabriel, is a teenage vampire with an attitude problem; and the youngest sister, Ruka, loves inventing things. There's a disapproving Grandma, who's a witch to the nth degree, and her vulture familiar. All Yuusuke wanted was for the beautiful Natsumi to even notice his attention, but now he has an angel-in-training to follow him wherever he goes. And Noelle, too, has a guide on her path to being an angel, the mysterious Michael.

(Source: AnimeNfo)",TV,26.0,Finished Airing,"Apr 7, 1999","Sep 29, 1999","TV Tokyo, Broccoli, Yomiko Advertising",Synch-Point,Pierrot,Original,"Comedy, Fantasy, Romance",Vampire,Unknown,23.0,PG-13 - Teens 13 or older,6.801,2087.0,48232.0,6604,6979,46,1999.0
35928,Devils Line,デビルズライン,Devils' Line,"Vampires walk among society, existing as part of its underbelly. They do not require blood to survive, but extreme emotions can immensely increase their bloodlust, turning them into uncontrollable monsters. Tsukasa Taira, a 22-year-old university student, learns of the existence of vampires when her longtime friend reveals himself to be one of them after a tense confrontation with Yuuki Anzai—a human and vampire hybrid.

Her friend is arrested, and Tsukasa soon finds herself drawn to Anzai, who reluctantly reciprocates her feelings. However, this unconventional romance may prove too difficult to maintain, as Anzai struggles to contain the part of him that wishes to devour Tsukasa.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 7, 2018","Jun 23, 2018","Kodansha, King Records",Sentai Filmworks,Platinum Vision,Manga,"Action, Drama, Romance, Supernatural",Vampire,teenager,24.0,R - 17+ (violence & profanity),6.841,102115.0,46062.0,846,241715,1492,2018.0
3457,Vampire Knight,ヴァンパイア騎士〈ナイト〉,Vampire Knight,"The cheerful Yuuki Cross and the gruff Zero Kiryuu are members of the disciplinary committee at Cross Academy, which houses two very distinct classes: the Day Class and the Night Class. Their job consists of upholding order between the classes when they switch out. While that may not seem like an especially difficult task, the Day Class is unaware of the truth behind the Night Class—their utterly gorgeous students are vampires.

Ten years ago, Yuuki was saved from a vampire attack by Kaname Kuran, a Pureblood vampire. Now, Kaname is the leader of the Night Class, and Yuuki's disciplinary committee position allows her to see him again, making her feelings for him grow complicated. Meanwhile, Zero bears a white-hot hatred of all vampires and believes they can never live in harmony with humans. But a secret from Zero's past soon threatens the fragile peace of all at the academy, and things may never be the same again.

[Written by MAL Rewrite]
",TV,13.0,Finished Airing,"Apr 8, 2008","Jul 1, 2008","TV Tokyo, Aniplex, Nihon Ad Systems",VIZ Media,Studio Deen,Manga,"Drama, Mystery, Romance, Supernatural","Love Polygon, Vampire",young girl,24.0,PG-13 - Teens 13 or older,6.901,336207.0,43512.0,326,568117,7164,2008.0
