ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
52347,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～,Unknown,"Second year high school student Rakurou Hizutome is interested in one thing only: finding ""shitty games"" and beating the crap out of them. His gaming skills are second to none, and no game is too bad for him to enjoy. So when he's introduced to the new VR game Shangri-La Frontier, he does what he does best—min-maxes and skips the prologue to jump straight into the action. But can even an expert gamer like Rakurou discover all the secrets that Shangri-La Frontier hides...?

(Source: Kodansha USA)",TV,,Not yet aired,2023,Unknown,Kodansha,Unknown,C2C,Manga,"Action, Adventure, Fantasy",Video Game,young boy,,None,,,,7560,5044,31,2023.0
48,.hack//Sign,.hack//SIGN,.hack//Sign,"A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, the Crimson Knights suspects him of being a hacker, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way.

As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a ""guardian,"" which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 4, 2002","Sep 26, 2002","Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,"Adventure, Fantasy, Mystery, Sci-Fi",Video Game,Unknown,24.0,PG-13 - Teens 13 or older,6.951,81501.0,40932.0,1163,173820,1303,2002.0
3724,Taiko no Tatsujin,太鼓の達人,Taiko Drum Master,A series of four minute claymation shows. Each episode shows the different antics of the various Taiko no Tatsujin characters.,TV,26.0,Finished Airing,"Apr 4, 2005","May 15, 2006",Nikkatsu,Unknown,Unknown,Game,Unknown,Video Game,Unknown,4.0,G - All Ages,5.981,308.0,91492.0,11907,1008,8,2005.0
873,.hack//Roots,.hack//Roots,.hack//roots,"After the termination of the incredibly popular virtual reality MMORPG ""The World,"" a new version of the game—The World R:2—is brought online. On his first day in the game, newcomer Haseo thinks he has made some friends to quest with. However, as if mocking his sentiments, they kill his character just for fun. Luckily, he is saved by a mysterious, one-armed player named Ovan who offers to show him around The World. 

Alongside Ovan and his cleric friend Shino, Haseo enjoys a wonderful first year in the game. But this peaceful life is shattered when Shino's character is killed by a familiar figure notoriously known as Tri-Edge, whose victims have all fallen into comas in the real world. In a fit of rage, Haseo vows to find the elusive Tri-Edge and kill him.

Taking place during Haseo's first year in The World, .hack//Roots explores the friendships Haseo built in the game before Tri-Edge ripped them away.

[Written by MAL Rewrite]",TV,26.0,Finished Airing,"Apr 6, 2006","Sep 28, 2006","TV Tokyo, Bandai Visual, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,"Adventure, Drama, Fantasy, Sci-Fi",Video Game,Unknown,24.0,PG-13 - Teens 13 or older,6.881,34279.0,44172.0,2216,71658,231,2006.0
11759,Accel World,アクセル・ワールド,Accel World,"Haruyuki Arita is an overweight, bullied middle schooler who finds solace in playing online games. But his life takes a drastic turn one day, when he finds that all his high scores have been topped by Kuroyukihime, the popular vice president of the student council. She then invites him to the student lounge and introduces him to ""Brain Burst,"" a program which allows the users to accelerate their brain waves to the point where time seems to stop. Brain Burst also functions as an augmented reality fighting game, and in order to get more points to accelerate, users must win duels against other players. However, if a user loses all their points, they will also lose access to Brain Burst forever.

Kuroyukihime explains that she chose to show Haruyuki the program because she needs his help. She wants to meet the creator of Brain Burst and uncover the reason of why it was created, but that's easier said than done; to do so, she must defeat the ""Six Kings of Pure Color,"" powerful faction leaders within the game, and reach level 10, the highest level attainable. After the girl helps Haruyuki overcome the bullies that torment him, he vows to help her realize her goal, and so begins the duo's fight to reach the top.

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 7, 2012","Sep 22, 2012","Genco, Rakuonsha, Warner Bros. Japan, flying DOG, ASCII Media Works",VIZ Media,Sunrise,Light novel,"Action, Romance, Sci-Fi","School, Video Game",Unknown,24.0,PG-13 - Teens 13 or older,7.241,371030.0,27362.0,244,677021,3827,2012.0
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,ネトゲの嫁は女の子じゃないと思った？,And you thought there is never a girl online?,"After mustering up the courage to propose to a girl in an online game, naïve otaku Hideki ""Rusian"" Nishimura is devastated when she flat out rejects him. To make matters worse, the girl reveals that she is actually an older man in real life. With his dreams crushed and his heart broken, Rusian comes to an abrupt decision in the midst of his raging fit: he will never trust another girl in an online game again.

Years later, Rusian is now in a guild with three other players, one of whom possesses a female avatar by the name of ""Ako."" Ako is deeply in love with Rusian and wants to marry him. Although he entertains the possibility that she might be a guy, Rusian accepts her proposal, claiming that her gender doesn't matter as long as she is cute in the game. However, after a discussion between guild members that led to all of them having an offline meeting, Rusian finds out that Ako, along with the other members, are not just girls, but also his schoolmates.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 7, 2016","Jun 23, 2016","Sotsu, AT-X, Barnum Studio, DAX Production, ASCII Media Works, NBCUniversal Entertainment Japan, i0+, Medicos Entertainment, Radio Osaka",Funimation,Project No.9,Light novel,"Comedy, Romance, Ecchi","School, Video Game",Unknown,24.0,PG-13 - Teens 13 or older,6.731,256605.0,51292.0,387,484691,1068,2016.0
44276,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,究極進化したフルダイブRPGが現実よりもクソゲーだったら,Full Dive The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,"Ten years ago, at the peak of the VRMMO development industry, a game titled ""Kiwame Quest"" entered the scene with potential like no other. Boasting a colossal total of 10 sexdecillion branches of possible story scenarios, this game pursued ultimate realism, ranging from humanlike NPCs to the perfect replication of all senses and physical abilities. But it soon became apparent that the game was too realistic, and the popularity of VRMMOs in general gradually began to plunge.

At present, due to an accident a few years prior, the high school student Hiroshi Yuuki now immerses himself in full-dive RPGs as a form of escapism. After failing to acquire the latest version of his favorite game, Hiroshi stumbles upon a game shop and meets its beautiful clerk Reona Kisaragi who convinces him to buy a copy of Kiwame Quest so that they can play together. 

The first time Hiroshi plays the game, he marvels at the realism it offers. However, his astonishment is short-lived as he sets off a series of misfortunes, quickly realizing that the game is even worse than his already stressful life. Nevertheless, Hiroshi still finds himself logging on again despite his growing contempt for the game. With no do-overs in his current disadvantageous situation, Hiroshi only has one goal—clearing the game!

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 7, 2021","Jun 23, 2021","Kadokawa, Bit grooove promotion",Funimation,ENGI,Light novel,"Action, Comedy, Fantasy",Video Game,Unknown,23.0,PG-13 - Teens 13 or older,6.471,96391.0,65852.0,1005,203115,1006,2021.0
36475,Sword Art Online Alternative: Gun Gale Online,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,Unknown,"Clad in desert pink and the size of a mere child, the infamous ""Pink Devil"" mercilessly hunts down other players in the firearm-centered world of the virtual reality game Gun Gale Online. But in real life, this feared player killer is not quite who anyone would expect.

A shy university student in Tokyo, Karen Kohiruimaki stands in stark contrast to her in-game avatar—in fact, she happens to stand above everyone else too, much to her dismay. Towering above all the people around her, Karen's insecurities over her height reach the point where she turns to the virtual world for an escape. Starting game after game in hopes of manifesting as a cute, short character, she finally obtains her ideal self in the world of Gun Gale Online. Overjoyed by her new persona, she pours her time into the game as LLENN, garnering her reputation as the legendary player killer.

However, when one of LLENN's targets gets the best of her, she ends up meeting Pitohui, a skilled yet eccentric woman. Quickly becoming friends with Karen, Pitohui insists that LLENN participates in Squad Jam, a battle royale that pits teams against one another, fighting until only one remains. Thrust into the heated competition, LLENN must fight with all her wit and will if she hopes to shoot her way to the top.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 8, 2018","Jul 1, 2018","Aniplex, Egg Firm",Aniplex of America,Studio 3Hz,Light novel,Action,"Military, Video Game",Unknown,23.0,PG-13 - Teens 13 or older,7.001,313475.0,39492.0,334,559289,1426,2018.0
41109,Log Horizon: Entaku Houkai,ログ・ホライズン 円卓崩壊,Log Horizon Destruction of the Round Table,"Third season of Log Horizon.

It's been a year since Shiroe and his friends were trapped in Akiba due to the Catastrophe. Their forging of the Round Table has brought order and prosperity to its people. But fracturing political alliances and the constant menace of the Genius monsters threaten to destabilize all they've fought for and built. Can faith be restored and they persevere, or is its destruction truly inevitable?

(Source: Funimation)",TV,12.0,Finished Airing,"Jan 13, 2021","Mar 31, 2021",Unknown,Funimation,Studio Deen,Light novel,"Action, Adventure, Fantasy","Adult Cast, Video Game",Unknown,24.0,PG-13 - Teens 13 or older,7.061,69105.0,36472.0,954,212837,612,2021.0
1885,Master of Epic: The Animation Age,マスター オブ エピック The Animation Age,Unknown,"Over millions of years, there have been many ages - war, gods, and future to name a few. Each of these was infinitely less exciting than the current Animation Age! In this RPG-esque existence, becoming stronger is paramount to one's survival and leveling up is a must. From pacifists to news casting, from fishing woes to love advice, there's nothing the Animation Age can't show or teach us about life in a game world! Armed with healing spells, changes of clothes and plenty of summoned familiars, the characters of Master of Epic will do what it takes to level up and live to fight another day!

(Source: Anime-Planet)",TV,12.0,Finished Airing,"Jan 8, 2007","Mar 26, 2007",TV Tokyo,Unknown,"Gonzo, Palm Studio",Game,"Comedy, Fantasy",Video Game,Unknown,24.0,PG-13 - Teens 13 or older,5.951,534.0,93112.0,10156,1953,1,2007.0
31223,Phantasy Star Online 2 The Animation,ファンタシースターオンライン２ ジ アニメーション,Unknown,"In the year 2027, the video game Phantasy Star Online 2 is all the rage at Seiga Academy. Every student is on board the fad—except for Itsuki Tachibana, a well-rounded student who doesn't play video games. Due to its popularity, the game is currently under review at Seiga Academy to see if it has a negative impact on the students. Consequently, this causes Itsuki to catch the attention of Rina Izumi, the perfectionist student council president who aims to prove that the game is not to blame. 

To accomplish her objective, Rina recruits Itsuki as the student council vice president and tasks him with learning to play the game while keeping his grades up. Now obliged to report his daily findings of the game to Rina and analyze its merits, Itsuki carries the fate of Phantasy Star Online 2 in his hands.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 8, 2016","Apr 1, 2016","TBS, Sega",Sentai Filmworks,Telecom Animation Film,Game,"Action, Sci-Fi","School, Video Game",Unknown,24.0,PG-13 - Teens 13 or older,6.311,27612.0,74082.0,2334,65692,94,2016.0
38790,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,痛いのは嫌なので防御力に極振りしたいと思います。,"BOFURI I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 1","After an enthusiastic invitation from her friend, Kaede Honjou reluctantly agrees to try New World Online: a very popular VRMMO played by thousands of people across Japan. Naming her in-game character Maple, she sets out on her journey. As a complete novice to such games, she allocates all of her stat points into vitality, desiring to not get hurt. With not a single point in any other stat, Maple has extraordinarily high defense, but she can't move quickly or hit hard.

This doesn't end badly for her, however. Due to her high defense, Maple acquires overpowered skills such as Total Defense, Poison Immunity, and Devour. These skills, along with the incredibly powerful items she obtains, allow her to obliterate most enemies in a single hit. After only a few days of playing the game, Maple claims third place in a server-wide event, gaining a reputation as a player who is both unkillable and absurdly powerful.

Despite her overpowered character, Kaede has much to learn. As she progresses through the game, she meets new friends and acquaintances, helping her complete new levels and events. Through all of her adventures, she may even pick up some other crazy skills that exceed all expectations.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 8, 2020","Mar 25, 2020","AT-X, MAGES., Docomo Anime Store, Sammy, ABC Animation, Kadokawa Media House, Kadokawa, D-techno",Funimation,SILVER LINK.,Light novel,"Action, Adventure, Comedy, Fantasy, Sci-Fi",Video Game,Unknown,23.0,PG-13 - Teens 13 or older,7.551,245461.0,15242.0,433,435782,3096,2020.0
298,.hack//Tasogare no Udewa Densetsu,.hack//黄昏の腕輪伝説,.hack//Legend Of The Twilight,"Winning the legendary characters ""Kite"" and ""Black Rose"" from an event held by the creators of the MMORPG ""The World,"" Shugo and his twin sister Rena steps into ""The World."" Together they completed events and quests, along with their new friends Ouka, Mirelle, Hotaru, and Sanjuro. Soon after, mysterious monsters appeared, and death by these monsters caused players to slip into a coma in the real world. Only Shugo and Rena can solve this problem, but why are they being targeted, and what secrets is the game hiding?

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 9, 2003","Mar 27, 2003","Bandai Visual, Yomiko Advertising","Funimation, Bandai Entertainment",Bee Train,Manga,"Adventure, Comedy, Fantasy, Sci-Fi",Video Game,young boy,23.0,PG-13 - Teens 13 or older,6.561,34195.0,60312.0,2345,65083,128,2003.0
35073,Overlord II,オーバーロードⅡ,Overlord II,"Ainz Ooal Gown, the undead sorcerer formerly known as Momonga, has accepted his place in this new world. Though it bears similarities to his beloved virtual reality game Yggdrasil, it still holds many mysteries which he intends to uncover, by utilizing his power as ruler of the Great Tomb of Nazarick. However, ever since the disastrous brainwashing of one of his subordinates, Ainz has become wary of the impending dangers of the Slane Theocracy, as well as the possible existence of other former Yggdrasil players. Meanwhile, Albedo, Demiurge and the rest of Ainz's loyal guardians set out to prepare for the next step in their campaign: Nazarick's first war…

Overlord II picks up immediately after its prequel, continuing the story of Ainz Ooal Gown, his eclectic army of human-hating guardians, and the many hapless humans affected by the Overlord's arrival.

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Jan 9, 2018","Apr 3, 2018","AT-X, Enterbrain, Grooove, Hakuhodo DY Music & Pictures, NTT Plala, Kadokawa",Funimation,Madhouse,Light novel,"Action, Adventure, Fantasy, Supernatural","Isekai, Video Game",Unknown,23.0,R - 17+ (violence & profanity),7.761,559091.0,9562.0,152,893273,4114,2018.0
38909,Infinite Dendrogram,<Infinite Dendrogram>-インフィニット・デンドログラム-,Infinite Dendrogram,"In the year 2043, <Infinite Dendrogram>, the world's first successful full-dive VRMMO was released. In addition to its ability to perfectly simulate the five senses, along with its many other amazing features, the game promised to offer players a world full of infinite possibilities. Nearly two years later, soon-to-be college freshman, Reiji Mukudori, is finally able to buy a copy of the game and start playing. With some help from his experienced older brother, Shuu, and his partner Embryo, Reiji embarks on an adventure into the world of <Infinite Dendrogram>. Just what will he discover and encounter in this game world known for its incredible realism and infinite possibilities?

(Source: J-Novel Club)",TV,13.0,Finished Airing,"Jan 9, 2020","Apr 16, 2020","AT-X, Nippon Columbia, KlockWorx, Hobby Japan, Studio Mausu, Hakuhodo DY Music & Pictures, BS11, Anima&Co.",Funimation,NAZ,Light novel,Fantasy,Video Game,Unknown,23.0,PG-13 - Teens 13 or older,6.181,71241.0,81352.0,1285,155750,244,2020.0
37675,Overlord III,オーバーロードⅢ,Overlord III,"Following the horrific assault on the Re-Estize capital city, the Guardians of the Great Tomb of Nazarick return home to their master Ainz Ooal Gown. After months of laying the groundwork, they are finally ready to set their plans of world domination into action.

As Ainz's war machine gathers strength, the rest of the world keeps moving. The remote Carne Village, which Ainz once saved from certain doom, continues to prosper despite the many threats on its doorstep. And in the northeastern Baharuth Empire, a certain Bloody Emperor sets his sights on the rising power of Nazarick.

Blood is shed, heroes fall, and nations rise. Can anyone, or anything, challenge the supreme power of Ainz Ooal Gown?

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Jul 10, 2018","Oct 2, 2018","AT-X, Hakuhodo DY Music & Pictures, NTT Plala, Kadokawa",Funimation,Madhouse,Light novel,"Action, Fantasy, Supernatural","Isekai, Video Game",Unknown,23.0,R - 17+ (violence & profanity),7.931,490009.0,6562.0,189,782562,5104,2018.0
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,100万の命の上に俺は立っている,I’m Standing on a Million Lives Season 2,"Once again, the Game Master's world of quests unexpectedly pulls in Yuusuke Yotsuya and the rest of this old team. Accompanied by the newest addition, Keita Torii, the team reunites with Kahabell, still unaware of their actions' impact on this world. 

After bidding Kahabell farewell, the team sets out on their newly appointed quest—an offering of a Jiffon Buffalo at Vaikdamnia on Jiffon Island. However, as their journey to the island commences, the team shortly finds that the quest is not as simple as it initially seemed.

In fact, the island is terrorized by orcs that have made a deal with its inhabitants: instead of devouring the islanders, the orcs will be granted buffalo. With the growing shortage of buffalo, the annual Vaikdamnia festival cannot proceed. But, given the importance of the team's quest, they are left with the obvious choice—rid the island of the orcs and save the islanders.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jul 10, 2021","Sep 25, 2021",Warner Bros. Japan,Unknown,Maho Film,Manga,"Drama, Fantasy","Isekai, Video Game",young boy,23.0,PG-13 - Teens 13 or older,6.811,59578.0,47562.0,1481,128021,589,2021.0
