ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
47581,Fendou Ji,奋斗记,Unknown,Unknown,TV,20.0,Finished Airing,2017,Unknown,Unknown,Unknown,Unknown,Original,Comedy,Workplace,Unknown,5.0,G - All Ages,,,178542.0,20831,32,0,2017.0
12431,Uchuu Kyoudai,宇宙兄弟,Space Brothers,"On a fateful summer night in 2006, Mutta Nanba and his younger brother Hibito witness what they believe to be a UFO flying toward the Moon. This impressing and unusual phenomenon leads both siblings vowing to become astronauts, with Hibito aiming for the Moon and Mutta, convinced that the eldest brother has to be one step ahead, for Mars.

Now an adult, life hasn't turned out how Mutta had pictured it: he is diligently working in an automotive company, whereas Hibito is on his way to be the very first Japanese man to step on the Moon. However, after losing his job, Mutta is presented with an unexpected opportunity to catch up to his younger brother when the Japanese Aerospace Exploration Agency, commonly known as JAXA, accepts his application to participate in the next astronaut selection. Despite self-doubts about his prospects, Mutta is unwilling to waste this chance of a lifetime, and thus embarks on an ambitious journey to fulfill the promise made 19 years ago.

[Written by MAL Rewrite]",TV,99.0,Finished Airing,"Apr 1, 2012","Mar 22, 2014","Yomiuri Telecasting, Trinity Sound",Sentai Filmworks,A-1 Pictures,Manga,"Comedy, Sci-Fi, Slice of Life","Adult Cast, Space, Workplace",teenager,24.0,PG-13 - Teens 13 or older,8.501,49623.0,1202.0,1117,179361,3703,2012.0
21273,Gochuumon wa Usagi Desu ka?,ご注文はうさぎですか？,Is the Order a Rabbit?,"Kokoa Hoto is a positive and energetic girl who becomes friends with anyone in just three seconds. After moving in with the Kafuu family in order to attend high school away from home, she immediately befriends the shy and precocious granddaughter of Rabbit House cafe's founder, Chino Kafuu, who is often seen with the talking rabbit, Tippy, on her head.

After beginning to work as a waitress in return for room and board, Kokoa also befriends another part-timer, Rize Tedeza, who has unusual behavior and significant physical capabilities due to her military upbringing; Chiya Ujimatsu, a waitress from a rival cafe who does everything at her own pace; and Sharo Kirima, another waitress at a different cafe who has the air of a noblewoman despite being impoverished.

With fluffy silliness and caffeinated fun, Gochuumon wa Usagi Desu ka? is a heartwarming comedy about five young waitresses and their amusing adventures in the town they call home.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 10, 2014","Jun 26, 2014","Frontier Works, Sotsu, Magic Capsule, Showgate, Houbunsha, NBCUniversal Entertainment Japan, RAY",Sentai Filmworks,White Fox,4-koma manga,Comedy,"CGDCT, Iyashikei, Workplace",Unknown,23.0,PG-13 - Teens 13 or older,7.501,85940.0,16792.0,928,219137,2099,2014.0
36513,Rokuhou-dou Yotsuiro Biyori,鹿楓堂よついろ日和,Yotsuiro Biyori,"Kyousui ""Sui"" Tougoku inherits a traditional Japanese-style cafe called Rokuhoudou from his grandfather, which he manages alongside Gregorio ""Gure"" Valentino, Tokitaka Nagae, and Tsubaki Nakao. Their hospitality par excellence undoubtedly turns any one-time visitor into a regular. Having gone through their own share of trials and tribulations, the staff at this modest cafe do their best to serve their customers—whether it be through tea, sweets, or even helping with the various troubles one may have.

Although most days pass pleasantly, the small world of Sui and his friends takes an unexpected path when their reputation as a cafe flourishes overnight.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 11, 2018","Jun 27, 2018",Unknown,Unknown,Zexcs,Manga,"Gourmet, Slice of Life","Iyashikei, Workplace",teenager,23.0,PG-13 - Teens 13 or older,7.621,10592.0,12932.0,3621,29133,148,2018.0
39581,TV Yarou Nanaana: Wakuwaku Doukutsu Land,テレビ野郎 ナナーナ わくわく洞窟ランド,Unknown,"After the TV station gets acquired by ""Nanazon Prime Video,"" departments that don't get high ratings will be restructured (aka fired). The shooting crew takes on a large-scale plan for their survival. The Banakawa Family was an extremely wealthy family in the Edo period but their gold was hidden somewhere in a cave (that even the surviving members of the Banakawa Family can't find). So the crew's program will feature them exploring the underground world in search of this hidden treasure that so far major TV station networks with big budgets could not find.
",TV,24.0,Finished Airing,"Apr 11, 2019","Sep 19, 2019",Unknown,Unknown,Studio Crocodile,Original,"Adventure, Comedy",Workplace,Unknown,3.0,PG-13 - Teens 13 or older,6.071,485.0,87042.0,11343,1249,3,2019.0
35968,Wotaku ni Koi wa Muzukashii,ヲタクに恋は難しい,Wotakoi Love is Hard for Otaku,"Having slept through all four of her alarms, the energetic Narumi Momose finds herself running late for her first day of work at a new office. As she races to catch her train, she makes a promise to herself that none of her coworkers will find out about her dark secret: that she is an otaku and a fujoshi. Her plan goes instantly awry, though, when she runs into Hirotaka Nifuji, an old friend from middle school. Although she tries to keep her secret by inviting him out for drinks after work, her cover is blown when he casually asks her whether or not she will be attending the upcoming Summer Comiket. Luckily for her, the only witnesses—Hanako Koyanagi and Tarou Kabakura—are otaku as well.

Later that night, the pair go out for drinks so that they can catch up after all the years apart. After Narumi complains about her previous boyfriend breaking up with her because he refused to date a fujoshi, Hirotaka suggests that she try dating a fellow otaku, specifically himself. He makes a solemn promise to always be there for her, to support her, and to help her farm for rare drops in Monster Hunter. Blown away by the proposal, Narumi agrees immediately. Thus the two otaku start dating, and their adorably awkward romance begins.

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Apr 13, 2018","Jun 22, 2018","Aniplex, Dentsu, Fuji TV, Half H.P Studio, Ichijinsha, Kanetsu Investment, Christmas Holly",Unknown,A-1 Pictures,Web manga,Romance,"Adult Cast, Otaku Culture, Workplace",Unknown,22.0,PG-13 - Teens 13 or older,7.951,457713.0,6282.0,165,851171,10291,2018.0
18205,World Fool News (TV),ワールド フールニュース,World Fool News,"A TV anime remake of the World Fool News ONA.

Takahashi is transferred to a main anchor of a news program, which is known for being a little...weird. This is a comedy about somewhat ridiculous happenings occurring at a broadcasting station.

(Source: YouTube)",TV,12.0,Finished Airing,"Apr 17, 2014","Jul 3, 2014",CoMix Wave Films,Unknown,Unknown,Other,"Comedy, Slice of Life",Workplace,Unknown,10.0,G - All Ages,5.891,902.0,96182.0,9935,2113,5,2014.0
31630,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",逆転裁判 ～その「真実」、異議あり！～,Ace Attorney,"Since he was a child, Ryuuichi Naruhodou's dream was to become a defense attorney, protecting the innocent when no one else would. However, when the rookie lawyer finally takes on his first case under the guidance of his mentor Chihiro Ayasato, he realizes that the courtroom is a battlefield. In these fast paced trials, Ryuuichi is forced to think outside the box to uncover the truth of the crimes that have taken place in order to prove the innocence of his clients.

Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! follows Ryuuichi as he tackles cases to absolve the falsely accused of the charges they face. It will not be easy—standing in his path is the ruthless Reiji Mitsurugi, a prosecutor who will stop at nothing to hand out guilty verdicts. With his back against the wall, the defense attorney must carefully examine both evidence and witness testimony, sifting through lies to solve the mystery behind each case. With a shout of ""objection!,"" the battle in the courtroom begins!

[Written by MAL Rewrite]",TV,24.0,Finished Airing,"Apr 2, 2016","Sep 24, 2016","Aniplex, Yomiuri Telecasting, Capcom, Trinity Sound","Funimation, Crunchyroll",A-1 Pictures,Game,"Comedy, Drama, Mystery","Detective, Workplace",Unknown,24.0,PG-13 - Teens 13 or older,6.491,54248.0,64302.0,1495,126695,437,2016.0
32977,Aggressive Retsuko,アグレッシブ烈子,Aggretsuko,"Whether it be facing misogynistic remarks from her boss or being pressured by condescending co-workers, stress is just another part of the job for 25-year-old red panda Retsuko. Despite being one of the most diligent workers at her office, her diminutiveness and modesty often lead her to be exploited by her colleagues. However, when her irritation hits the limit, Retsuko brings forth her unique brand of letting off steam: aggressive death metal karaoke bashing the idiocy and hypocrisy of her co-workers' actions and work life. Although this venting only takes place in her mind, it gives her an outlet to counter her frustration in a world where hierarchy and appearances reign supreme.

[Written by MAL Rewrite] ",TV,100.0,Finished Airing,"Apr 2, 2016","Mar 31, 2018",Sanrio,Unknown,Fanworks,Other,"Comedy, Slice of Life","Anthropomorphic, Music, Workplace",Unknown,1.0,PG-13 - Teens 13 or older,7.621,46650.0,13022.0,1812,98728,572,2016.0
35332,World Fool News (TV) Part II,ワールドフールニュース PartⅡ,World Fool News Part II,Direct continuation of World Fool News (TV).,TV,12.0,Finished Airing,"Apr 2, 2017","Jun 18, 2017",CoMix Wave Films,Unknown,Unknown,Other,"Comedy, Slice of Life",Workplace,Unknown,9.0,G - All Ages,5.751,441.0,101592.0,11746,1070,1,2017.0
