anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
37074,Daremo Shiranai,誰も知らない,Unknown,"One of the first Minna no Uta music videos ever created. It follows a child's imagination where ""nobody knows"" the answers to his questions such as what does a star taste like, if he throws his dad's hat really hard into the sky does it become a UFO, when worm wiggles around is it really wiggling into the shape of a number and calculating mathematics, etc.",Music,1.0,Finished Airing,1961-04-03,,NHK,Unknown,Unknown,Original,Unknown,Music,Kids,2.0,G - All Ages,,,175742.0,17020,229,0
34406,Punpun Polka,プンプンポルカ,Unknown,"A music video for the song ""Punpun Polka"" by Hiroshi Ashino that was featured on NHK's Minna no Uta program.",Music,1.0,Finished Airing,1961-08-10,,NHK,Unknown,Unknown,Original,Unknown,Music,Kids,1.0,G - All Ages,4.661,178.0,128042.0,14845,392,0
43598,Ookina Furudokei,大きな古時計,Unknown,"The original rendition of the Japanese version of the 1876 song My Grandfather's Clock by American composer and songwriter Henry Clay Work that was broadcast on NHK's Minna no Uta program. It was performed by Sumito Tachikawa and the Nagato Miho Kagekidan Jidou Gasshoudan (Miho Nagato Opera Children's Choir) and featured artwork by Rokurou Taniuchi. Due to the copyright law of the time, price of film reels, and overwriting tapes, Ookina Furudokei from 1962 remains to be one that is missing its video tape, as such the music video is considered lost media.",Music,1.0,Finished Airing,1962-06-01,,NHK,Unknown,Unknown,Music,Unknown,Music,Kids,,G - All Ages,,,140812.0,19116,101,0
37153,Warai Kawasemi ni Hanasu na yo,わらいかわせみに話すなよ,Unknown,"A music video for the song ""Warai Kawasemi ni Hanasu na yo"" by Toshie Kusunoki (楠トシエ). Aired as part of NHK's Minna no Uta program. ",Music,1.0,Finished Airing,1962-12-05,,NHK,Unknown,Unknown,Original,Unknown,Music,Kids,2.0,G - All Ages,,,159212.0,17523,201,0
24843,Clarinet Kowashichatta,クラリネットこわしちゃった,Unknown,A Minna no Uta video for a song from Dark Ducks.,Music,1.0,Finished Airing,1963-02-05,,NHK,Unknown,Unknown,Music,Unknown,Music,Kids,2.0,G - All Ages,4.881,182.0,125542.0,15089,368,0
43682,Koneko no Byouki,こねこの病気,Unknown,Music video for the song Koneko no Byouki by Japanese women's chorus sextet Voce Angelica that was featured on NHK's Minna no Uta program. The video features stop-motion animation by Group Claire.,Music,1.0,Finished Airing,1963-06-01,,NHK,Unknown,Unknown,Original,Unknown,Music,Kids,2.0,G - All Ages,,,193062.0,18752,127,0
24901,Cook no Polka,コックのポルカ,Unknown,A song for the Minna no Uta segment.,Music,1.0,Finished Airing,1964-08-03,,NHK,Unknown,Unknown,Music,Unknown,Music,Kids,2.0,G - All Ages,4.831,182.0,126192.0,15183,360,0
24905,Go-hiki no Kobuta to Charleston,五匹のこぶたとチャールストン,Unknown,A song for the Minna no Uta segment.,Music,1.0,Finished Airing,1964-08-03,,NHK,Unknown,Unknown,Music,Unknown,Music,Kids,2.0,G - All Ages,4.941,176.0,124882.0,14883,389,0
36382,Mama Gomennasai,ママごめんなさい,Unknown,A little boy apologizes to his mom about all the bad pranks he's been pulling. ,Music,1.0,Finished Airing,1964-08-06,,NHK,Unknown,Unknown,Original,Unknown,Music,Kids,2.0,G - All Ages,5.131,124.0,121552.0,17031,229,0
39874,Youki ni Utaeba,陽気にうたえば,Unknown,"The Japanese version of the Mexican folk song Las Chiapanecas, believed to be composed by Bulmaro López Fernández, with lyrics later added by Juan Arozamena. The video was animated by Yoji Kuri, accompanied by Japanese male chorus group Dark Ducks.",Music,1.0,Finished Airing,1964-12-11,,NHK,Unknown,Unknown,Music,Unknown,Music,Kids,2.0,G - All Ages,5.171,135.0,120662.0,16537,261,0
36356,Tanoshii ne,たのしいね,Unknown,Three girls have fun playing hand-clapping games.,Music,1.0,Finished Airing,1965-02-15,,NHK,Unknown,Unknown,Original,Unknown,Music,Kids,2.0,G - All Ages,,,154362.0,17364,210,0
36360,Hasami Togi,はさみとぎ,Unknown,A man sings a song while sharpening scissors as a part of his mobile business.,Music,1.0,Finished Airing,1965-04-07,,NHK,Unknown,Unknown,Original,Unknown,Music,Kids,2.0,G - All Ages,,,182792.0,17130,223,0
8719,Donna Donna,ドナ ドナ,Unknown,"A calf goes to a new home while memories of happiness flash by.

This is a 1966 Japanese version of an old 1938 Yiddish folk song that was featured in NHK's Minna no Uta.",Music,1.0,Finished Airing,1966-02-11,,NHK,Unknown,Unknown,Music,Slice of Life,Music,Kids,2.0,G - All Ages,5.171,214.0,120752.0,14375,438,0
8661,Chimuchimucheri ChimChimCheree,チムチムチェリー ChimChimCheree,Unknown,"The life of a chimney sweep in a song. This is the Japanese version of the 1964 Academy Award song Chim Chim Cher-ee that was originally sung by Dick Van Dyke and Julie Andrews in the movie 'Mary Poppins"". Given the anime treatment by graphic artist and animator Tadanori Yokoo and shown in the Minna no Uta segment of NHK programming.
",Music,1.0,Finished Airing,1966-04-05,,NHK,Unknown,Unknown,Music,Slice of Life,Music,Kids,2.0,G - All Ages,4.721,412.0,127402.0,12852,730,1
