,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
10308,10354,Kakomareta Sekai,囲まれた世界,Unknown,"Kakomareta Sekai is a short animation done by Shinkai Makoto using Lightwave 3D. It is inspired by Japanese novelist Murakami Haruki's book 'Sekai no Owari to Hard-Boiled Wonderland' (English title: Hard-Boiled Wonderland and the End of the World). The music was done by Tenmon, who's also responsible for the music in Shinkai's 'Kanojo to Kanojo no Neko', 'Hoshi no Koe', and 'Kumo no Mukou, Yakusoku no Basho'.

Only 30 seconds long, this short was originally viewable at Shinkai's website, but has since been taken down due to bandwidth issues. Its chances of getting a proper release are slim, as Shinkai intended it only as practice using 3DCG programs. 

(Source: AniDB)",ONA,1.0,Finished Airing,1998,Not Available,Unknown,Unknown,Unknown,Unknown,Drama,Unknown,Unknown,30.0,G - All Ages,5.201,571.0,119882.0,10320,1852,0,1998.0
12056,13233,Mugen no Ryvius: Illusion,無限のリヴァイアス イリュージョン,Unknown,Short ONA episodes streamed on the TV Tokyo's and Bandai's official websites.,ONA,6.0,Finished Airing,1999,2000,Unknown,Unknown,Sunrise,Unknown,Comedy,Unknown,Unknown,7.0,PG-13 - Teens 13 or older,5.521,301.0,110402.0,12071,947,0,1999.0
20795,44499,Dahua Sanguo,大话三国,Unknown,Unknown,ONA,36.0,Finished Airing,2000,Unknown,Unknown,Unknown,Unknown,Other,Unknown,Gag Humor,Kids,2.0,G - All Ages,,,175332.0,20825,32,0,2000.0
6215,4069,Pucca,プッカ,Pucca Funny Love,"Pucca is a cute and energetic 10 years old Korean girl. Working as a delivery girl for the restaurant of her parents, she has one love obsession, Garu, and will do anything to kiss him!

Garu is an aspiring ninja, often followed by his cat Mio. He's shy and always has to try to escape from Pucca's traps. But she will absolutely never give up!

Good thing both of them like chocolate!

(Source: AniDB)",ONA,46.0,Finished Airing,2000,2005,VOOZ Character System,Unknown,Unknown,Unknown,"Comedy, Romance",Unknown,Unknown,2.0,G - All Ages,6.591,4604.0,58572.0,6221,8093,11,2000.0
9251,4419,Catman,キャットマン,Catman,"In a city filled with anthropomorphic cat-people, Catman lives free of rules and boundaries, doing everything he wants, which often collides with the other inhabitants of the city. Catman dares to be bold: it’s made in Flash, which is rarely seen nowadays; there are no spoken dialogue but instead is subbed in Japanese and English and has a original soundtrack made in purpose for the series.",ONA,7.0,Finished Airing,2002,Not Available,Fuji TV,Unknown,Unknown,Unknown,"Comedy, Fantasy, Slice of Life",Anthropomorphic,Unknown,3.0,PG-13 - Teens 13 or older,5.981,1028.0,91632.0,9260,2710,10,2002.0
11227,4418,Catman Series II,キャットマン,Unknown,"In a city filled with anthropomorphic cat-people, Catman lives free of rules and boundaries, doing everything he wants, which often collides with the other inhabitants of the city. Created entirely in flash, with no spoken dialog, Catman instead speaks in English and Japanese subtitles. The series is spread across three so-called 'seasons', with only the third having been aired.",ONA,8.0,Finished Airing,2002,Not Available,Fuji TV,Unknown,Unknown,Unknown,"Comedy, Fantasy, Slice of Life",Anthropomorphic,Unknown,4.0,PG-13 - Teens 13 or older,6.191,670.0,80752.0,11239,1298,2,2002.0
10117,10979,48x61,48x61 四拾八x六拾壱,Unknown,"48x61 is a short movie made by the famous director Rintaro (Astro Boy, Metropolis, ...) for the Japanese manga artist and director Katsuhiro Otomo (Akira, Mushishi, ...). It was produced by Studio Madhouse. This movie was made when Rintaro was 61 years old and Katsuhiro 48 years old. Hence the title.

Main characters in this movie are Rintarou and Katsuhiro. The story is about a bicycle race between the two them.

(Source: AniDB)",ONA,1.0,Finished Airing,2002,Not Available,Unknown,Unknown,Madhouse,Unknown,"Comedy, Sports",Unknown,Unknown,6.0,PG-13 - Teens 13 or older,5.191,1090.0,120152.0,10130,1973,0,2002.0
15008,12341,Trip Trek,TRIP TREK [トリップトレック],Unknown,"A young girl from a fairy-tale world, Zocco searches the real world for her missing mother. She is accompanied by Minime, a magical companion / pet that her mother created for her.

(Source: ANN) ",ONA,4.0,Finished Airing,2003,Not Available,Unknown,Unknown,Manglobe,Unknown,"Adventure, Comedy, Fantasy",Unknown,Unknown,5.0,G - All Ages,4.741,138.0,127232.0,15031,374,0,2003.0
11155,5101,Doutei Kawaiya,童貞かわいや,Unknown,"A group of boys discover their sexuality in different ways.

Kojiro Shishido's short about the discomfort of teenage longing.",ONA,1.0,Finished Airing,2003,Not Available,Kojiro Shishido Animation Works,Unknown,Unknown,Original,Erotica,Unknown,Unknown,6.0,R+ - Mild Nudity,5.141,627.0,,11166,1332,0,2003.0
13295,7504,Bollogi Iyagi,볼로기 이야기,Bologee Story,"An award winning surreal stop motion anime from Korea using noodles, about a little Bologee (a so-called convex boy) who was born on the Concave Planet. He desperately wants to get to a another planet called Convex Star.

When he finally manages to get there he falls in love with a girl from the Convex Planet. The people living there do not approve......",ONA,1.0,Finished Airing,2003,Not Available,Unknown,Unknown,Unknown,Original,"Avant Garde, Drama, Romance",Unknown,Unknown,11.0,G - All Ages,5.391,328.0,114602.0,13311,626,0,2003.0
