,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
16167,37024,Momoya Norihei Anime CM,桃屋のり平アニメCM,Unknown,"In 1958, five years after public television was opened for Japan, animated/live-action hybrid commercials for Momoya brand food started to air. These commissioned commercials from Tanuma Noriko, an actor/comedian, contained his persona caricature ""Norihei Miki."" The advertisements were a success (and branched into newspaper comic flyers) filled with puns and parodies. The commercials were continually made for over a half century and featured over 300 characters but a core of 7 were most reoccurring. ",Special,,Finished Airing,1958,2012,Unknown,Unknown,Unknown,Original,Comedy,Parody,Unknown,30.0,G - All Ages,,,135772.0,16192,285,0,1958.0
16001,30767,Wonder 3 Pilot,ワンダースリー,Unknown,Wonder Three pilot episode.,Special,1.0,Finished Airing,1965,Not Available,Mushi Production,Unknown,Unknown,Unknown,"Action, Adventure, Comedy, Sci-Fi",Unknown,Unknown,15.0,G - All Ages,,,159912.0,16027,298,0,1965.0
11630,10813,Alps no Shoujo Heidi Pilot,アルプスの少女ハイジ パイロット版,Unknown,Pilot episode of the famous anime Heidi.,Special,1.0,Finished Airing,1967,Not Available,TCJ,Unknown,Unknown,Unknown,"Comedy, Drama, Slice of Life",Unknown,Unknown,5.0,G - All Ages,5.261,434.0,118342.0,11642,1104,1,1967.0
20327,52399,0 Man,0マン,Unknown,"This sci-fi story centers around Ricky, a Zero Man raised by humans in Tokyo. Zero Men are very similar to humans, but their intelligence and strength is far greater, while also sharing similar characteristics to squirrels. When Ricky finds out that the Zero Men are planning to go to war with the human race, it’s up to him to try and put a stop to the conflict and save his adopted family.

(Source: Lost Media Wiki)",Special,1.0,Finished Airing,1968,Not Available,Unknown,Unknown,Mushi Production,Manga,"Action, Sci-Fi",Military,young boy,4.0,G - All Ages,,,166812.0,20354,44,0,1968.0
14309,10812,Toumei Shounen Tantei Akira,透明少年探偵アキラ,Unknown,Pilot episode of the anime Chargeman Ken.,Special,1.0,Finished Airing,1970,Not Available,Unknown,Unknown,Knack Productions,Original,Action,Unknown,young boy,13.0,PG-13 - Teens 13 or older,4.881,172.0,125702.0,14330,447,0,1970.0
9041,15021,Yuki no Taiyou Pilot,ユキの太陽,Unknown,"This pilot is remembered, really, for one notable reason: this is Miyazaki's first time as a solo director. He teamed up with Takahata for the later episodes of the 1971-72 Lupin III series, but Yuki's Sun marked his first time solely in the captain's seat.

Yuki's Sun was based upon a popular shoujo manga (girls' comic) by Tetsuya Chiba which was serialized in 1963. It involves a 10-year-old orphan girl who is adopted into a family. The storyline is somewhat complex, and seems to play out like grand melodrama. Chiba's stories were more sophisticated and grown-up than, say, Osamu Tezuka, who of course was the godfather of postwar Japanese manga.

(Source: TheGhibliBlog)",Special,1.0,Finished Airing,1972,Not Available,Unknown,Unknown,"Tokyo Movie Shinsha, Tokyo Movie",Manga,Drama,Unknown,young girl,4.0,PG - Children,5.361,1532.0,115722.0,9050,2918,0,1972.0
17233,38338,The★Fire G-Men,ザ★ファイヤーGメン,Unknown, Part of Safety Education Anime series.,Special,1.0,Finished Airing,1974,Not Available,Unknown,Unknown,Unknown,Original,Unknown,Unknown,Kids,21.0,PG - Children,,,155512.0,17258,216,1,1974.0
20257,43802,Effendi De Gushi: Zhong Jinzi,阿凡提的故事之种金子,Unknown,Unknown,Special,1.0,Finished Airing,1979,Not Available,Unknown,Unknown,Shanghai Animation Film Studio,Other,Comedy,Unknown,Kids,18.0,G - All Ages,,,177692.0,20282,46,0,1979.0
14216,34929,Kotowa Jiten: Hetana Teppou mo Kazu Ucha Ataru!,ことわざ辞典 へたな鉄砲も数うちゃあたる！,Unknown,"Amateur animation by 20-year-old Hikeaki Anno while he was studying at Osaka University of Arts. The short is an animated form of the idiom ""even a poor marksman will hit the target with enough shots"".",Special,1.0,Finished Airing,1979,Not Available,Unknown,Unknown,Unknown,Original,Action,Unknown,Unknown,1.0,G - All Ages,5.261,223.0,118472.0,14238,461,0,1979.0
13923,17048,Choujin Locke Special,超人ロック,Unknown,"In 1979, before the movie Choujin Locke was produced, this short pilot was made.

It can be now found on the the extras of the official DVD release of the movie.",Special,1.0,Finished Airing,1979,Not Available,Unknown,Unknown,Unknown,Manga,"Action, Sci-Fi",Super Power,Unknown,10.0,PG-13 - Teens 13 or older,5.161,204.0,120822.0,13943,505,0,1979.0
