,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
8246,52214,Genjitsu no Yohane: Sunshine in the Mirror,幻日のヨハネ -SUNSHINE in the MIRROR-,Unknown,"""Nobody knows the story of the girl that everybody knows.""

Numazu is a scenic port town surrounded by the mountains and the sea.

Yohane, a girl who has struggled to fit in with her surroundings since childhood, spends her day avoiding people in the city. What I want to do, my true whereabouts, that is—

Walking with a girl that cannot be honest, in a mysterious world you are familiar with.

Another sun that has just appeared.

(Source: MAL News)",Unknown,,Not yet aired,2023,Unknown,Unknown,Unknown,Sunrise,Web manga,Fantasy,Unknown,Unknown,,PG-13 - Teens 13 or older,,,,8253,3942,30,2023.0
2693,52299,Ore dake Level Up na Ken,俺だけレベルアップな件,Solo Leveling,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunters."" Twenty-year-old Sung Jin-Woo is one such Hunter, but he is known as the ""World's Weakest,"" owing to his pathetic power compared to even a measly E-Rank. Still, he hunts monsters tirelessly in low-rank Gates to pay for his mother's medical bills.

However, this miserable lifestyle changes when Jin-Woo—believing himself to be the only one left to die in a mission gone terribly wrong—awakens in a hospital three days later to find a mysterious screen floating in front of him. This ""Quest Log"" demands that Jin-Woo completes an unrealistic and intense training program, or face an appropriate penalty. Initially reluctant to comply because of the quest's rigor, Jin-Woo soon finds that it may just transform him into one of the world's most fearsome Hunters. 

[Written by MAL Rewrite]",Unknown,,Not yet aired,2023,Unknown,Aniplex,Unknown,A-1 Pictures,Web manga,"Action, Adventure, Fantasy",Unknown,Unknown,,None,,,,2695,51020,1082,2023.0
4619,52093,Trigun Stampede,TRIGUN STAMPEDE,Trigun Stampede,New anime project for Trigun.,Unknown,,Not yet aired,2023,Unknown,TOHO animation,Unknown,Orange,Manga,"Action, Adventure, Comedy, Drama, Sci-Fi",Adult Cast,young boy,,PG-13 - Teens 13 or older,,,,4624,17063,71,2023.0
3063,51533,Tonikaku Kawaii: Seifuku,トニカクカワイイ ~制服~,Tonikawa Over the Moon for You - Uniform,Special episode of Tonikaku Kawaii scheduled to be released Summer 2022.,Unknown,1.0,Not yet aired,"Nov 22, 2022",Not Available,Unknown,Unknown,Seven Arcs,Manga,"Comedy, Romance",Unknown,young boy,,PG-13 - Teens 13 or older,,,,3065,40070,172,2022.0
13167,7398,Sekai Meisaku Douwa,世界名作童話,World Famous Fairy Tale Series,"Another of Toei's World Famous Fairy Tale series consisting of 20 stories, 10 minutes each. 

(Source: AniDB)",Unknown,20.0,Finished Airing,Oct 1975,Feb 1983,Unknown,Unknown,Unknown,Unknown,Fantasy,Unknown,Unknown,10.0,G - All Ages,6.071,142.0,86962.0,13181,652,2,1975.0
10057,51772,Umayuru,うまゆる,Unknown,Unknown,Unknown,,Not yet aired,Oct 2022,Unknown,Unknown,Unknown,Scooter Films,Game,Comedy,Unknown,Unknown,,PG-13 - Teens 13 or older,,,,10069,2021,1,2022.0
13291,52080,Murai no Koi,村井の恋,Unknown,"The story tells a romantic comedy between Tanaka, a high school teacher who loves otome games, and Murai, a high school boy who is in love with Tanaka. Tanaka, who has never been involved in a real-life romance, is confessed to by Murai but rejects his confession. On the next day, Murai transforms himself into the exact likeness of Tanaka's favorite character from her favorite otome game. 

(Source: Crunchyroll)",Unknown,,Not yet aired,Unknown,Not Available,Unknown,Unknown,Unknown,Manga,"Comedy, Romance",Unknown,Unknown,,None,,,,13308,628,3,
5190,51552,Watashi no Shiawase na Kekkon,わたしの幸せな結婚,Unknown,"Miyo Saimori was the unfortunate child of a loveless, arranged marriage. After her mother died, her father brought in his lover and her own daughter, Kaya. From then on, Miyo's life was reduced to that of a mere servant. Even worse, while Kaya inherited the family's psychic abilities, Miyo had none—she was truly the daughter with no merit.

After years of being treated like dirt, Miyo has learned to keep her head down, hide her pain, and obey every order. So, it comes as no surprise that she is arranged to be married to Kiyoka Kudou, a military captain rumored to be so cruel that he has driven away every one of his potential wives so far.

From a painful upbringing to a painful marriage, that's the future that awaits Miyo—or so she thinks. Contrary to her expectations, her new husband is actually kind-hearted. What really awaits Miyo is a blissful, everlasting marriage full of happiness! 

[Written by MAL Rewrite]",Unknown,,Not yet aired,Unknown,Not Available,"Glovision, Miracle Bus",Unknown,Kinema Citrus,Light novel,Romance,Historical,Unknown,,None,,,,5195,12722,78,
10822,43760,Hikari no Ou,火狩りの王,Unknown,"Hikari no Ou takes place in the aftermath of humanity's last war. The world is enveloped with a black forest and people have become infected with a pathogen that causes them to burst into flame in the presence of natural fire. The only safe source of fire can be obtained by hunting black beasts, Flame Spirits, which reside deep in the forest. Among the fire hunters, rumors of ""The King of Fire Hunters"" began spreading recently—an individual who would be able to harvest the man-made star, the millennium comet that once wandered the void.

The story revolves around Touko, a village-raised girl, and Koushi, a former student in the capital. The encounter between the two, who were not supposed to cross paths, will change the fate of the world.

(Source: MAL News)
",Unknown,,Not yet aired,Unknown,Not Available,WOWOW,Unknown,Signal.MD,Novel,Fantasy,Unknown,Unknown,,None,,,,10834,1523,0,
9673,51020,Helck,ヘルク,Helck,"While humanity celebrates the defeat of the Demon King by the hands of a lone hero, the denizens of the demon world prepare for the contest of a lifetime—a tournament to decide who would inherit the title of Demon King.

Now, three months later, the tournament has been proceeding smoothly—well, other than the fact that the favorite to come out on top is the human hero Helck! With a smile and a wave, he easily bests his demonic competition, all while loudly proclaiming his hatred for humans. Though he calls for the destruction of humanity, the truth of what lies behind his cheery façade remains a mystery.

Doubtful of Helck's intentions, Red Vamirio—one of the ""Four Heavenly Kings,"" who oversee the realm of the demons together—seeks to uncover what the hero is truly after. With the title of ""Demon King"" at stake, the fate of the demon world rests on her shoulders. 

[Written by MAL Rewrite]",Unknown,,Not yet aired,Unknown,Not Available,Unknown,Unknown,Unknown,Web manga,"Action, Fantasy",Unknown,Unknown,,None,,,,9684,2312,6,
