anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
29920,Kobutori (1957),こぶとり,Unknown,A short puppet animation movie by Tadahito Mochinaga. ,Movie,1.0,Finished Airing,1957-01-01,,Unknown,Unknown,Unknown,Other,Unknown,Unknown,Unknown,20.0,G - All Ages,5.351,121.0,116192.0,15650,323,0
43232,Yi Ge Xin Zu Qiu,一個新足球,Unknown,Unknown,Movie,1.0,Finished Airing,1957-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,17.0,PG - Children,,,163612.0,20215,48,0
43231,Shuang Bao Tai,雙胞胎,Unknown,Unknown,Movie,1.0,Finished Airing,1957-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,18.0,PG - Children,,,150732.0,20123,49,0
6993,Koneko no Rakugaki,こねこのらくがき,Unknown,Yasuji Mori's short about a kitten drawing pictures on a wall.,Movie,1.0,Finished Airing,1957-05-13,,Unknown,Unknown,Toei Animation,Original,Comedy,Unknown,Unknown,13.0,G - All Ages,5.721,948.0,102932.0,10341,1838,1
29919,Fushigi na Taiko,ふしぎな太鼓,Unknown,A short movie based on the children's story by Momoko Ishii.,Movie,1.0,Finished Airing,1957-08-20,,Unknown,Unknown,Unknown,Other,Unknown,Unknown,Kids,18.0,G - All Ages,5.501,144.0,110972.0,14832,393,0
29923,Fukusuke,ふくすけ,Unknown,A short movie by Ryouichi Yokoyama.,Movie,1.0,Finished Airing,1957-10-29,,Unknown,Unknown,Otogi Production,Original,Unknown,Unknown,Unknown,18.0,G - All Ages,5.291,324.0,117562.0,13006,698,1
43244,Zhu Ba Jie Chi Xi Gua,猪八戒吃西瓜,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,20.0,PG - Children,,,166102.0,19952,53,0
29921,Bunbuku Chagama (1958),ぶんぶくちゃがま,Unknown,A short puppet animation movie by Tadahito Mochinaga. ,Movie,1.0,Finished Airing,1958-01-01,,"Dentsu, Dentsu Eigasha Tokyo",Unknown,Unknown,Other,Unknown,Unknown,Unknown,13.0,G - All Ages,5.151,160.0,121102.0,15210,358,0
43245,Qiang Shang De Hua,墙上的画,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,14.0,PG - Children,,,144452.0,19784,57,0
43243,Gu Boshi Di Xin Fa Xian,古博士的新發現,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,19.0,G - All Ages,,,181212.0,20047,51,0
43246,Guo Hou Shan,過猴山,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,9.0,G - All Ages,,,181632.0,19987,52,0
43252,San Mao Liu Lang Ji,三毛流浪记,Winter Of Three Hairs,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,32.0,PG - Children,,,146822.0,19837,56,0
43236,Lao Po Po De Zao Shu,老婆婆的棗樹,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,10.0,G - All Ages,,,195012.0,19812,57,0
43250,Da Lie Ji,打獵記,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,17.0,G - All Ages,,,175092.0,19756,58,0
43233,Xiao Pengyou Men,小朋友們,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,9.0,G - All Ages,,,161232.0,20038,51,0
37024,Momoya Norihei Anime CM,桃屋のり平アニメCM,Unknown,"In 1958, five years after public television was opened for Japan, animated/live-action hybrid commercials for Momoya brand food started to air. These commissioned commercials from Tanuma Noriko, an actor/comedian, contained his persona caricature ""Norihei Miki."" The advertisements were a success (and branched into newspaper comic flyers) filled with puns and parodies. The commercials were continually made for over a half century and featured over 300 characters but a core of 7 were most reoccurring. ",Special,,Finished Airing,1958-01-01,2012-01-01,Unknown,Unknown,Unknown,Original,Comedy,Parody,Unknown,30.0,G - All Ages,,,135772.0,16192,285,0
33136,Kachikachi Yama (1958),かちかち山,Unknown,A short film based on the folktale of the same name and directed by Waichi Toba (鳥羽和一).,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Other,Fantasy,Unknown,Unknown,,G - All Ages,,,188892.0,18182,163,0
49399,Mutou Guniang,木头姑娘,Unknown,"Carpenters, painters and silversmiths crafted a piece of fine wood into a beautiful girl that miraculously turns into a young living woman. Then the quarrel begins...",Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Original,Fantasy,Unknown,Unknown,21.0,G - All Ages,,,136722.0,19580,68,0
43242,Zhao Xiao Ge Ge,找小哥哥,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,10.0,PG - Children,,,165592.0,19867,55,0
43248,Xiao Hou Yu Bai Pang,小猴与白胖,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,14.0,G - All Ages,,,160952.0,20017,52,0
43241,Huo Yan Shan,火焰山,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,33.0,G - All Ages,,,185912.0,20159,49,0
43239,Xiao Fa Ming Jia,小發明家,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,15.0,G - All Ages,,,160862.0,20036,51,0
43237,Mei Li De Xiao Jin Yu,美麗的小金魚,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,20.0,G - All Ages,,,133632.0,20170,49,0
43235,Xiao Li Yu Tiao Long Men,小鯉魚跳龍門,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,18.0,G - All Ages,,,161132.0,20210,48,0
43238,Shui Chang De Zui Hao,誰唱得最好,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,33.0,G - All Ages,,,150762.0,20380,44,0
43249,Si Zhi Xiao Ye Ya,四隻小野鴨,Unknown,Unknown,Movie,1.0,Finished Airing,1958-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,10.0,G - All Ages,,,151212.0,20035,51,0
9850,Koguma no Koro-chan,こぐまのコロちゃん,"Korochan, the Little Bear",Japanese fairy tale about a bear cub who would rather play than help his parents with house chores. ,Movie,1.0,Finished Airing,1958-03-01,,Unknown,Unknown,Unknown,Other,Unknown,Unknown,Kids,10.0,G - All Ages,5.511,323.0,110812.0,13158,658,0
29812,Yumemi Douji,夢見童子,Unknown,An early Toei film directed by Fukiya Kouji.,Movie,1.0,Finished Airing,1958-04-05,,Unknown,Unknown,Toei Animation,Original,Drama,Unknown,Unknown,15.0,G - All Ages,5.361,164.0,115732.0,14176,469,0
19125,Mogura no Adventure,もぐらのアバンチュール,Unknown,"A humorous story of a mole named Kuro-chan who embarks on a space voyage in his dreams.

(Source: ANN) ",Special,1.0,Finished Airing,1958-10-15,,Nippon Television Network,Unknown,Unknown,Original,Adventure,Unknown,Kids,8.0,G - All Ages,4.661,325.0,128032.0,13137,663,1
4513,Hakujaden,白蛇伝,Panda and the Magic Serpent,"As a young boy, Xu-Xian is forced to free his pet, a small snake. Unbeknownst to him, the snake is actually a young snake goddess named Bai-Niang and she is in love with him. Many years later, when they are both adults, the princess is magically transformed into a human and sets out to find her love. But the local wizard believes her to be a vampire, and banishes Xu-Xian from the village in order to save him. Xu-Xian's pet pandas Panda and Mimi set out to save him and bring him, in the process becoming leaders of an animal gang.

(Source: ANN)",Movie,1.0,Finished Airing,1958-10-22,,Unknown,Unknown,Toei Animation,Other,"Adventure, Fantasy, Romance",Historical,Unknown,79.0,G - All Ages,6.091,2027.0,85932.0,7485,5141,6
29925,Poron Guitar,ポロンギター,Unknown,A puppet animation movie by Ryosaku Takayama.,Movie,1.0,Finished Airing,1959-01-01,,Gakken,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,26.0,G - All Ages,,,143602.0,16374,272,0
43258,Luo Bo Hui Lai Le,蘿蔔回來了,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,17.0,PG - Children,,,131762.0,20169,49,0
43267,Ji Gong Dou Xi Shuai,济公斗蟋蟀,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,22.0,G - All Ages,,,187432.0,20185,48,0
43266,Gui Hou Fen Shu,猴龟分树,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,9.0,G - All Ages,,,181422.0,20156,49,0
29922,Ou-sama Ninatta Kitsune,王様になった狐,Unknown,A short puppet animation movie by Tadahito Mochinaga. ,Movie,1.0,Finished Airing,1959-01-01,,Dentsu,Unknown,Unknown,Original,Unknown,Unknown,Unknown,19.0,G - All Ages,,,141552.0,16679,250,0
43795,Diao Longji,雕龙记,Inscription of Dragons,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Other,Unknown,Unknown,Kids,33.0,G - All Ages,,,176222.0,20045,51,0
43265,Yi Fu Tong Jin,一幅僮錦,Unknown,"Once upon a time the Chuang family chopped firewood for a living. Mother Tanja spent three years day and night weaving this tapestry. One day a wind storm came and the tapestry flew away. Kam Tong, one of the children, would venture off to the dangerous Tibet mountains to try to get the tapestry back. Very few have ever survived the cave.

(Source: Wikipedia)",Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,48.0,G - All Ages,,,163602.0,20040,51,0
43794,Bihua Li De Gushi,壁画里的故事,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Other,Unknown,Unknown,Kids,16.0,G - All Ages,,,170912.0,19814,56,0
43269,San Zhi Hu Die,三只蝴蝶,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,23.0,PG - Children,,,146882.0,20306,46,0
43264,Bu Gu Niao Jiao Chi Le,布谷鸟叫迟了,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,10.0,G - All Ages,,,171802.0,19888,54,0
43259,Mi Feng Yu Qiu Yin,蜜蜂與蚯蚓,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,18.0,PG - Children,,,134172.0,19887,55,0
43263,Yi Zhi Xie,一只鞋,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,35.0,G - All Ages,,,163722.0,20394,44,0
29926,Inaka Nezumi to Machi Nezumi,いなかねずみとまちねずみ,Unknown,A short movie by Kazuhiko Watanabe.,Movie,1.0,Finished Airing,1959-01-01,,Gakken,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,9.0,G - All Ages,5.141,152.0,121322.0,15156,363,0
32227,Inemuri Buu-chan,いねむりぶーちゃん,Unknown,A modified version of The Little Red Hen folk tale. It stars a squirrel and the moral of the story (no work=no prize) is removed as the animals who didn't contribute at all to making the bread were allowed to eat it.,Movie,1.0,Finished Airing,1959-01-01,,Gakken,Unknown,Unknown,Other,Unknown,Unknown,Kids,11.0,G - All Ages,,,186732.0,17202,219,0
43260,Senlin Zhi Wang,森林之王,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,17.0,PG - Children,,,147822.0,20378,44,0
43262,Longxia,龙虾,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Shanghai Animation Film Studio,Unknown,Unknown,Unknown,Kids,15.0,G - All Ages,,,131482.0,19886,55,0
43270,Hong Se Xin Hao,红色信号,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kids,20.0,G - All Ages,,,184762.0,20362,44,0
45607,Yu Tong,漁童,Unknown,Unknown,Movie,1.0,Finished Airing,1959-01-01,,Shanghai Animation Film Studio,Unknown,Unknown,Other,Adventure,Historical,Unknown,22.0,G - All Ages,,,164502.0,18271,157,0
16007,Hyoutan Suzume,ひょうたんすずめ,Unknown,One of the famous Asian animated films from the late 1950s.,Movie,1.0,Finished Airing,1959-02-10,,"Toho, Otogi Production",Unknown,Unknown,Original,Fantasy,Unknown,Unknown,54.0,G - All Ages,5.481,141.0,111882.0,13756,536,0
6994,Koneko no Studio,こねこのスタジオ,Kitty's Studio,"The kitten from Yasuji Mori's earlier Koneko no Rakugaki returns, this time putting his talents toward directing a samurai film starring his mouse friends.",Movie,1.0,Finished Airing,1959-04-09,,Unknown,Unknown,Toei Animation,Original,Comedy,Unknown,Unknown,16.0,G - All Ages,5.981,712.0,91812.0,10791,1543,1
21765,Ari to Hato (1959),ありとはと,Unknown,Third remake of the Ari to Hato.,Movie,1.0,Finished Airing,1959-09-05,,Gakken,Unknown,Gakken Eigakyoku,Other,Unknown,Unknown,Kids,8.0,G - All Ages,5.481,138.0,111752.0,14696,404,0
